"state","region","avg_price","no_products","no_cities"
"GO","Centro-Oeste",126.282821505375,2337,179
"MT","Centro-Oeste",148.408498098858,1055,102
"MS","Centro-Oeste",142.628376068376,825,66
"DF","Centro-Oeste",125.754866555462,2413,5
"BA","Nordeste",134.507494071148,3817,338
"CE","Nordeste",153.341488783139,1479,158
"PE","Nordeste",145.313468593661,1803,150
"MA","Nordeste",145.943509202454,822,119
"PB","Nordeste",191.71078202995,605,90
"RN","Nordeste",157.073072519084,527,88
"PI","Nordeste",160.266321626617,542,72
"AL","Nordeste",181.521085972851,444,67
"SE","Nordeste",153.495811518325,387,45
"PA","Norte",165.605409683425,1079,87
"TO","Norte",157.529333333334,316,56
"RO","Norte",165.973525179856,284,35
"AC","Norte",173.727717391304,92,11
"AP","Norte",164.320731707317,82,6
"AM","Norte",135.496,166,5
"RR","Norte",157.486530612245,49,2
"MG","Sudeste",120.823852916434,13168,728
"SP","Sudeste",109.63398060102,15983,620
"RJ","Sudeste",124.817283117586,14603,130
"ES","Sudeste",121.722699822379,2260,90
"RS","Sul",120.174327588987,6242,377
"PR","Sul",119.276401050792,5757,352
"SC","Sul",124.502710235465,4185,239

