month,Centro_Oeste,Nordeste,Norte,Sudeste,Sul
201701,65,78,22,625,176
201702,86,173,72,1352,315
201703,167,301,87,2054,432
201704,135,309,87,1759,407
201705,238,438,90,2753,657
201706,226,309,71,2428,577
201707,253,470,71,3085,697
201708,300,506,113,3272,757
201709,297,543,106,3223,704
201710,353,544,104,3641,743
201711,514,812,140,5993,1299
201712,385,599,104,4454,815
201801,501,750,154,5638,1214
201802,515,710,128,5234,1119
201803,476,774,139,5662,1189
201804,438,685,131,5568,1158
201805,453,632,100,5722,1038
201806,404,603,119,5020,939
201807,441,720,145,4840,965
201808,383,470,85,5387,983
