customer_state,diff_estimated_delivery,freight_value,time_to_delivery,region
AC,14.93406593,40.07336957,14.65934066,Norte
RO,14.17582418,41.06971223,14.06593407,Norte
AM,14.12269939,33.20539394,18.80981595,Norte
AP,13.13580247,34.00609756,20.11111111,Norte
RR,12.42222222,43.72510204,20.31111111,Norte
MT,10.247343,28.08040875,12.80096618,Centro-Oeste
PA,10.04770992,35.8508473,16.82347328,Norte
RS,10.04447351,21.73480271,10.72400262,Sul
RN,9.761627907,35.70124046,13.64534884,Nordeste
PR,9.521979,20.55559895,8.403630539,Sul
PE,9.479310345,32.86841023,12.96034483,Nordeste
MG,9.467929803,20.64399664,8.413651188,Sudeste
PB,9.237606838,42.75356073,14.56752137,Nordeste
TO,8.796774194,37.24660317,12.40645161,Norte
GO,8.66123348,22.77191398,10.91321586,Centro-Oeste
DF,8.652322113,21.0463553,9.082232637,Centro-Oeste
RJ,8.513016954,20.96448361,10.67560474,Sudeste
SC,8.194662096,21.47503364,10.58643487,Sul
PI,8.149425287,39.15362292,13.75862069,Nordeste
MS,8.009864365,23.374884,10.97163995,Centro-Oeste
SP,7.933953508,15.14692173,6.129891433,Sudeste
BA,7.766576087,26.36505665,13.66005435,Nordeste
CE,7.738028169,32.6928552,14.88873239,Nordeste
ES,7.517551755,22.03163854,11.0949595,Sudeste
SE,7.021505376,36.78272251,15.12903226,Nordeste
MA,6.773704172,38.31801227,15.35903919,Nordeste
AL,6.178403756,35.89859729,17.36384977,Nordeste
