customer_state,diff_estimated_delivery
AC,-14.934065934065934
RO,-14.175824175824175
AM,-14.122699386503067
AP,-13.135802469135802
RR,-12.422222222222222
MT,-10.247342995169083
PA,-10.047709923664122
RS,-10.044473512099412
RN,-9.761627906976743
PR,-9.521978999822032
PE,-9.479310344827587
MG,-9.467929802764404
PB,-9.237606837606837
TO,-8.796774193548387
GO,-8.661233480176211
DF,-8.652322113336174
RJ,-8.513016953961836
SC,-8.194662095984329
PI,-8.149425287356323
MS,-8.009864364981505
SP,-7.933953508450066
BA,-7.766576086956522
CE,-7.738028169014084
ES,-7.517551755175518
SE,-7.021505376344086
MA,-6.77370417193426
AL,-6.178403755868545
