customer_state,freight_value
RR,43.72510204081633
PB,42.753560732113144
RO,41.06971223021583
AC,40.07336956521739
PI,39.15362292051756
MA,38.31801226993865
TO,37.24660317460317
SE,36.782722513089006
AL,35.89859728506787
PA,35.85084729981378
RN,35.70124045801527
AP,34.00609756097561
AM,33.20539393939394
PE,32.86841022790439
CE,32.692855200543846
MT,28.080408745247148
BA,26.365056653491436
MS,23.374884004884002
GO,22.771913978494624
ES,22.031638543516873
RS,21.734802705749722
SC,21.475033637674194
DF,21.04635529608007
RJ,20.96448361332966
MG,20.643996636342788
PR,20.55559894921191
SP,15.146921727737627
