year_month,shipped,delivered,cancelled
16-Sep,5,1,2
16-Oct,300,265,24
16-Nov,0,0,0
16-Dec,0,1,0
17-Jan,800,750,3
17-Feb,1744,1653,17
17-Mar,2611,2546,33
17-Apr,2304,2303,18
17-May,3546,3546,29
17-Jun,3207,3135,16
17-Jul,4012,3872,28
17-Aug,4222,4193,27
17-Sep,4331,4150,20
17-Oct,4781,4478,26
17-Nov,7312,7289,37
17-Dec,5612,5513,11
18-Jan,7123,7069,34
18-Feb,6780,6555,73
18-Mar,7124,7003,26
18-Apr,6798,6798,15
18-May,6890,6749,24
18-Jun,6128,6099,18
18-Jul,6333,6159,41
18-Aug,6421,6351,84
