date,payment_value,payment_type
2016-09-04,136.23,credit_card
2016-09-05,75.06,credit_card
2016-09-13,40.95,credit_card
2016-10-02,109.34,credit_card
2016-10-03,456.86,credit_card
2016-10-04,9929.11,credit_card
2016-10-05,7670.5,credit_card
2016-10-06,8113.59,credit_card
2016-10-07,5783.07,credit_card
2016-10-08,8793.16,credit_card
2016-10-09,3878.11,credit_card
2016-10-10,3556.88,credit_card
2016-12-23,19.62,credit_card
2017-01-05,135.96,credit_card
2017-01-06,316.83,credit_card
2017-01-07,1447.99,credit_card
2017-01-08,784.53,credit_card
2017-01-09,606.52,credit_card
2017-01-10,1418.42,credit_card
2017-01-11,2609.83,credit_card
2017-01-12,2426.82,credit_card
2017-01-13,2478.9,credit_card
2017-01-14,1507.36,credit_card
2017-01-15,1779.66,credit_card
2017-01-16,3488.62,credit_card
2017-01-17,2456.58,credit_card
2017-01-18,3304.69,credit_card
2017-01-19,3516.53,credit_card
2017-01-20,3493.23,credit_card
2017-01-21,2775.93,credit_card
2017-01-22,3915.95,credit_card
2017-01-23,5823.15,credit_card
2017-01-24,5640.39,credit_card
2017-01-25,8794.87,credit_card
2017-01-26,11468.37,credit_card
2017-01-27,9893.77,credit_card
2017-01-28,4781.91,credit_card
2017-01-29,6426.97,credit_card
2017-01-30,9232.38,credit_card
2017-01-31,9089.52,credit_card
2017-02-01,6439.33,credit_card
2017-02-02,7082.23,credit_card
2017-02-03,7079.72,credit_card
2017-02-04,14485.61,credit_card
2017-02-05,8001.33,credit_card
2017-02-06,8353.86,credit_card
2017-02-07,12324.43,credit_card
2017-02-08,8847.32,credit_card
2017-02-09,9183.69,credit_card
2017-02-10,14253.91,credit_card
2017-02-11,4693.81,credit_card
2017-02-12,13504.68,credit_card
2017-02-13,10232.69,credit_card
2017-02-14,12859.84,credit_card
2017-02-15,6504.02,credit_card
2017-02-16,6586.78,credit_card
2017-02-17,6493.75,credit_card
2017-02-18,6738.84,credit_card
