date,boleto,credit_card,debit_card,voucher
9/4/2016,0,136.23,0,0
9/5/2016,0,75.06,0,0
9/13/2016,0,40.95,0,0
10/2/2016,0,109.34,0,0
10/3/2016,138.28,456.86,0,0
10/4/2016,1758.51,9929.11,65.5,161.53
10/5/2016,2403.17,7670.5,0,138.55
10/6/2016,1108.79,8113.59,176.23,0
10/7/2016,2222.12,5783.07,0,250
10/8/2016,822.97,8793.16,0,100
10/9/2016,168.38,3878.11,0,105.62
10/10/2016,1056.84,3556.88,0,61.38
10/22/2016,0,0,0,61.99
12/23/2016,0,19.62,0,0
1/5/2017,571.31,135.96,0,0
1/6/2017,21.45,316.83,0,650
1/7/2017,0,1447.99,0,0
1/8/2017,25.1,784.53,0,0
1/9/2017,167.99,606.52,0,0
1/10/2017,152.75,1418.42,0,0
1/11/2017,452.5,2609.83,0,0
1/12/2017,0,2426.82,54.42,21.45
1/13/2017,425.07,2478.9,0,0
1/14/2017,0,1507.36,0,0
1/15/2017,771.68,1779.66,0,0
1/16/2017,223.62,3488.62,0,0
1/17/2017,1242.58,2456.58,50.31,144.14
1/18/2017,972.6,3304.69,139.59,266.5
1/19/2017,405.32,3516.53,218.31,0
1/20/2017,883.21,3493.23,0,321.63
1/21/2017,318.83,2775.93,0,0
1/22/2017,364.27,3915.95,0,0
1/23/2017,1226.5,5823.15,0,504.24
1/24/2017,1091.51,5640.39,0,62.6
1/25/2017,1155.8,8794.87,138.49,345.15
1/26/2017,3424.76,11468.37,54.51,244.32
1/27/2017,2479.48,9893.77,0,530.88
1/28/2017,744.36,4781.91,0,383.71
1/29/2017,645.79,6426.97,87.9,0
1/30/2017,2762.67,9232.38,0,192.85
1/31/2017,3545.28,9089.52,0,386.93
2/1/2017,3646.64,6439.33,0,225.02
2/2/2017,3550.3,7082.23,44.01,0
2/3/2017,4387.38,7079.72,0,172.09
2/4/2017,1101.57,14485.61,0,159.99
2/5/2017,2101.91,8001.33,0,50
2/6/2017,2817.89,8353.86,416.96,37.29
2/7/2017,3670.35,12324.43,80.75,551.68
2/8/2017,4823.88,8847.32,138.47,490.3
2/9/2017,1328.43,9183.69,153.72,178.33
2/10/2017,1121.54,14253.91,0,298.64
2/11/2017,899.19,4693.81,0,55.37
2/12/2017,2986.08,13504.68,72.63,118.9
2/13/2017,2446.84,10232.69,97.52,315.04
2/14/2017,2196.79,12859.84,0,252.45
2/15/2017,1627.87,6504.02,0,194.51
2/16/2017,1150.43,6586.78,0,66.51
2/17/2017,1465.42,6493.75,0,134.4
2/18/2017,1917.7,6738.84,96.65,555.11
2/19/2017,1004.89,3241.92,0,230.84
2/20/2017,3370.34,5470.32,0,316.64
2/21/2017,1510.59,7678.75,83.12,61
2/22/2017,2213.55,6943.9,0,235.92
2/23/2017,1924.96,6354.68,115.34,176.88
2/24/2017,1091.99,6273.2,0,617.82
2/25/2017,1505.72,3236.76,134.91,248.79
2/26/2017,467.54,6115.96,0,0
2/27/2017,326.08,6086.82,0,423.87
2/28/2017,820.87,11685.41,76.24,0
3/1/2017,6098.06,12534.08,0,291.03
3/2/2017,1508.87,11438.47,33.1,165.92
3/3/2017,3435.75,10679.65,0,39.31
3/4/2017,2319.01,12998.36,82.87,133.45
3/5/2017,642.92,7658.86,0,487.36
3/6/2017,2399.3,10827.62,95.22,192.98
3/7/2017,2064.97,11501.12,109.04,180.24
3/8/2017,2133.69,13815.59,536.87,283.51
3/9/2017,3908.96,9198.19,56.52,664.66
3/10/2017,3564.04,10496.6,0,458.28
3/11/2017,2201.78,9833.12,0,469.07
3/12/2017,1372.55,6424.67,0,55.96
3/13/2017,2600.57,16068.99,324.58,311.92
3/14/2017,3547.16,12389.83,0,605.99
3/15/2017,2934.63,13864.92,79.57,485.79
3/16/2017,3684.27,12930.5,38.95,0
3/17/2017,1551.25,11487.41,316.32,256.3
3/18/2017,2475.77,14061.78,0,1405.52
3/19/2017,896.93,6807.25,0,23.9
3/20/2017,3290.29,16616.55,0,108.09
3/21/2017,2890.84,11711.08,0,335.59
3/22/2017,2171.73,13577.9,409.25,231.26
3/23/2017,4387.21,17927.11,57.51,541.54
3/24/2017,3529.84,9711.13,95.22,50.72
3/25/2017,1865.97,9041.36,82.48,261.93
3/26/2017,1543.73,5296.83,170.41,631.05
3/27/2017,5584.1,13980.14,795.08,189.97
3/28/2017,3055.27,11406.11,0,377.2
3/29/2017,2095.26,8006.49,35.18,72.18
3/30/2017,1318.15,9912.61,0,204.24
3/31/2017,1087.66,12284.62,274.63,106.37
4/1/2017,3267.6,17071,0,236.08
4/2/2017,1954.5,8508.03,0,146.09
4/3/2017,4104.97,6503.67,63.12,105.14
4/4/2017,2784.66,10654.36,0,713.97
4/5/2017,2607.73,17773.34,0,393.48
4/6/2017,8696.71,17571.72,101.01,494.14
4/7/2017,3270.38,11102.32,0,671.02
4/8/2017,1489.38,7903.75,60.33,837.28
4/9/2017,952.33,8294.12,99.32,343.64
4/10/2017,2223.78,9808.57,59.42,1400.33
4/11/2017,1607.97,8040.46,43.72,185.94
4/12/2017,2043.65,6948.8,82.97,332.52
4/13/2017,1274.38,9819.72,0,122.01
4/14/2017,656.31,9757.7,101.89,0
4/15/2017,1564.63,7698.09,37.86,90.98
4/16/2017,946.06,5215.58,115.9,254.67
4/17/2017,1929.73,8177.19,347.89,310.76
4/18/2017,1585.16,21299.47,393.46,155.77
4/19/2017,3569.92,10104.24,40.95,226.14
4/20/2017,3949.52,10994.68,0,1111.8
4/21/2017,1996.71,6986.87,334.62,844.4
4/22/2017,2949.89,11640.67,221.76,192.74
4/23/2017,2968.7,8568.18,0,303.03
4/24/2017,5645.09,11527.49,135.24,403.75
4/25/2017,4569.66,12059.66,395.18,151.85
4/26/2017,2080.39,16056.57,0,559.13
4/27/2017,2531.26,9749.5,20.82,153.52
4/28/2017,5615.91,11718.96,134.54,593.88
4/29/2017,1260.94,12451.29,0,123.05
4/30/2017,1209.32,8081.72,0,145.96
5/1/2017,1990.8,12686.07,29.95,162.85
5/2/2017,4327.4,16122.18,0,223.5
5/3/2017,2210.43,9377.57,47.01,557.33
5/4/2017,3517.32,11928.59,333.44,122.37
5/5/2017,4117.49,11487.2,0,979.89
5/6/2017,1321,17727.09,111.2,68.26
5/7/2017,2090.85,17969.22,148.22,259.69
5/8/2017,3345.78,15432.6,0,416.3
5/9/2017,11199.43,12550.85,247.48,247.29
5/10/2017,7610.43,15365.33,42.78,399.86
5/11/2017,5731.43,14748.01,0,724.6
5/12/2017,3412.15,11572.83,92.09,237.39
5/13/2017,1938.75,8379.91,250.51,106.5
5/14/2017,1467.97,14894.35,188.45,1001.06
5/15/2017,8753.12,11944,196.92,1012.97
5/16/2017,4304.01,19481.66,0,749.9
5/17/2017,3884.48,17173.55,49.53,288.77
5/18/2017,4245,16200.14,94.3,322.35
5/19/2017,3224.47,17469.96,0,830.66
5/20/2017,2257.73,9417.78,0,688.66
5/21/2017,4639.31,15299.22,143.83,286.17
5/22/2017,5985,21496.65,544.11,880.84
5/23/2017,2378.67,17832.2,0,411.6
5/24/2017,10758.15,14937.67,175.28,1120.85
5/25/2017,3075.34,14095.69,0,1249.63
5/26/2017,2532.59,9990.22,65,92.71
5/27/2017,2859.68,13172.67,0,301.19
5/28/2017,2110.76,8657.43,29.69,322.83
5/29/2017,3271.11,17525.31,233.62,1195.05
5/30/2017,4793.75,11944.41,0,336.2
5/31/2017,5298.5,18166.95,0,597.93
6/1/2017,7725.3,13475.68,0,580.4
6/2/2017,3340.58,17645.44,0,783.36
6/3/2017,2411.2,9289.98,62.45,501.81
6/4/2017,1431.45,13842.12,310.23,445.69
6/5/2017,5513.48,21187.51,58.58,640.97
6/6/2017,2686.34,14543.71,198.44,96.6
6/7/2017,2731.54,12816.79,42.78,481.51
6/8/2017,4206.37,17417.14,32.78,449.99
6/9/2017,4399.22,12753.47,569.23,1016.61
6/10/2017,1985.7,7611.69,0,294.71
6/11/2017,3638.36,15147.19,47.68,515.31
6/12/2017,5470.17,10729.18,224.7,965.15
6/13/2017,3003.66,13409.85,97.7,383.68
6/14/2017,5896.89,17299.95,249.06,113.62
6/15/2017,2210.83,12654.86,0,239.57
6/16/2017,1580.74,12591.47,32.09,573.39
6/17/2017,3126.67,9511.13,0,432.36
6/18/2017,4216.92,15211.02,0,305.75
6/19/2017,6906.57,18680.04,0,346.83
6/20/2017,3530.94,10654.03,0,474.85
6/21/2017,1649.49,5593.88,0,31.73
6/22/2017,1593.48,8996.56,0,19
6/23/2017,5327.81,10263.78,51.63,55.28
6/24/2017,4502.78,5423.89,0,87.03
6/25/2017,3031.6,17344.68,0,358.06
6/26/2017,2572.74,12500.86,0,126.72
6/27/2017,4991.33,13045.62,77.66,1565.52
6/28/2017,3116.15,13665.58,85.16,213.99
6/29/2017,2317.33,11823.49,137.32,416.43
6/30/2017,2658.52,13137.68,146.68,293.86
7/1/2017,1492.91,12168,0,478.09
7/2/2017,2828.45,10384.42,26.77,762.73
7/3/2017,3557.19,15176.02,0,594.97
7/4/2017,4325.23,13332.42,0,449.95
7/5/2017,4764.91,19265.92,0,633.75
7/6/2017,7861.21,17199.16,133.85,1361.85
7/7/2017,3144.8,12363.35,515.49,653.11
7/8/2017,2136.15,9667.07,0,198.13
7/9/2017,1823.37,8499.5,36,342.27
7/10/2017,6025.6,13903.02,370.89,362.29
7/11/2017,4945.58,19594.27,62.17,362.61
7/12/2017,5560.13,16419.38,288.37,472.92
7/13/2017,5989.86,11063.1,0,933.79
7/14/2017,4436.22,17018.29,263.67,115.08
7/15/2017,2055.7,10870.93,0,201.42
7/16/2017,2132.11,13831.09,0,187.03
7/17/2017,3038.56,21806.68,0,954.3
7/18/2017,7943.88,23179.61,73.34,1254.06
7/19/2017,4766.83,14703.77,195.76,745.39
7/20/2017,4915.05,16550.53,39.17,1013.09
7/21/2017,2781.36,12238.32,0,851.11
7/22/2017,2496.11,10618.21,0,204.22
7/23/2017,2641.05,10783.21,0,642.57
7/24/2017,5220.48,17255.16,118.46,355.91
7/25/2017,4787.51,14836.72,171,1089.47
7/26/2017,2740.69,10650.9,50.09,612.16
7/27/2017,2990.73,15837.92,0,117.17
7/28/2017,3999.16,19177.14,0,100
7/29/2017,1157.9,16174.88,0,1039.13
7/30/2017,1122.63,13743.34,0,475.72
7/31/2017,3094.12,16676.14,0,709.65
8/1/2017,4633.1,20734.26,0,50
8/2/2017,4630.23,16352.64,0,707.39
8/3/2017,4280.88,17759.16,0,340.51
8/4/2017,4083.93,17219.92,96.02,312.66
8/5/2017,1269.96,12157.3,0,1038.58
8/6/2017,2466.97,14363.53,88.18,104.71
8/7/2017,7778.95,17805.58,279.59,765.22
8/8/2017,4043.96,16940.72,0,556.45
8/9/2017,3980.48,19381.08,60.37,792.46
8/10/2017,7707.22,15399.73,111.65,375.42
8/11/2017,5214.11,17682.76,0,730.24
8/12/2017,2874.65,13135.93,0,210.51
